Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Viking
2026-04-15;1;6;33;35;36;48;2
2026-04-08;2;5;6;17;36;46;5
2026-04-01;5;11;19;33;42;46;3
2026-03-25;1;10;23;31;36;39;2
2026-03-18;13;25;31;36;43;44;4
2026-03-11;1;4;6;36;41;48;4
2026-03-04;17;20;33;37;38;43;2
2026-02-25;4;5;8;22;40;47;4
2026-02-18;7;8;19;30;39;42;3
2026-02-11;4;12;18;23;28;40;5
2026-02-04;2;10;12;32;33;40;3
2026-01-28;4;27;32;33;35;44;5
2026-01-21;9;10;30;33;40;48;3
2026-01-14;2;8;18;34;41;48;1
2026-01-07;14;22;29;38;39;45;3
