Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2026-04-03;8;27;29;46;49;2;10
2026-03-31;5;8;10;33;38;2;7
2026-03-27;4;10;43;44;48;2;4
2026-03-24;12;16;17;18;27;1;3
2026-03-20;5;12;16;37;46;8;10
2026-03-17;5;17;28;33;41;3;9
2026-03-13;13;17;26;41;48;4;10
2026-03-10;12;14;27;44;50;4;12
2026-03-06;15;16;19;28;37;6;9
2026-03-03;6;7;24;34;50;5;7
2026-02-27;14;24;27;39;42;6;10
2026-02-24;10;27;40;43;47;6;10
2026-02-20;13;24;28;33;35;5;9
2026-02-17;1;4;6;10;41;5;12
2026-02-13;9;13;31;37;40;6;9
2026-02-10;1;17;19;34;42;5;8
2026-02-06;10;13;20;23;24;6;11
2026-02-03;26;27;28;34;37;4;9
2026-01-30;14;18;31;35;46;7;11
2026-01-27;4;23;42;43;47;3;9
2026-01-23;4;5;13;21;42;3;10
2026-01-20;11;18;19;22;50;1;11
2026-01-16;5;17;24;29;50;5;10
2026-01-13 00:00:00.0000000;6;10;18;44;47;2;10
2026-01-13;6;10;18;44;47;2;10
2026-01-09 00:00:00.0000000;1;7;10;26;34;2;4
2026-01-06 00:00:00.0000000;5;14;17;18;31;10;12
2026-01-02 00:00:00.0000000;8;27;42;44;46;1;10
